Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2019-01-21,63.425,63.52,62.497,62.952,97693
2019-01-22,62.952,63.046,62.497,62.762,172370
2019-01-23,62.497,62.687,61.835,62.478,188410
2019-01-24,62.478,63.292,61.91,62.952,248123
2019-01-25,63.255,64.523,62.535,64.182,215142
2019-01-28,64.107,64.277,63.008,64.05,127627
2019-01-29,63.671,64.315,63.046,63.425,161105
2019-01-30,63.539,65.129,62.497,62.573,230281
2019-01-31,63.898,64.921,63.236,64.656,340441
2019-02-01,64.353,65.886,63.52,65.886,216071
2019-02-04,65.792,67.401,65.602,66.454,185777
2019-02-05,66.511,66.738,65.148,66.625,103066
2019-02-06,66.17,66.984,65.167,65.186,171166
2019-02-07,65.186,65.186,63.52,63.52,155687
2019-02-08,63.425,63.747,62.687,62.952,190783
2019-02-11,62.762,63.652,61.854,61.854,188846
2019-02-12,62.478,62.554,61.361,61.57,203894
2019-02-13,61.948,61.948,59.354,59.752,309703
2019-02-14,60.206,60.339,58.73,59.07,376739
2019-02-15,58.976,59.809,58.54,59.657,453885
2019-02-18,59.922,60.377,56.325,57.556,403620
2019-02-19,57.594,57.594,56.231,56.761,371967
2019-02-20,57.272,58.786,56.893,58.502,385468
2019-02-21,58.692,59.506,57.48,58.086,308924
2019-02-22,57.934,59.146,57.934,58.313,309211
2019-02-25,58.578,59.317,57.045,57.329,251316
2019-02-26,57.366,57.575,56.079,57.234,239837
2019-02-27,56.988,58.01,56.496,56.609,227328
2019-02-28,56.704,57.026,54.224,54.527,373450
2019-03-01,53.959,55.625,53.959,55.095,360282
2019-03-04,55.36,56.098,54.47,54.773,172440
2019-03-05,54.905,55,53.163,53.372,206391
2019-03-06,53.864,54.337,52.652,52.879,240413
2019-03-07,52.539,54.413,52.539,53.769,254309
2019-03-08,53.485,53.788,52.179,52.766,149073
2019-03-11,53.296,53.902,52.993,53.239,177120
2019-03-12,53.58,55.208,53.58,54.905,315795
2019-03-13,55.151,57.366,54.886,57.272,327538
2019-03-14,57.48,58.843,55.095,55.397,316043
